@relation 'cleaned_summer_products-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,22,25-26'

@attribute units_sold numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute merchant_rating_count numeric
@attribute revenue numeric
@attribute sales_level {Low,High,Medium}

@data
12350,3.96,4082,45964,74100,High
10000,3.71,903,12974,80000,High
100,4,10,80093,470,Low
10000,3.45,1412,21412,40000,High
5000,3.57,309,5365,40000,High
1000,3.5,222,3743,16000,Medium
100,3.29,38,168,1100,Low
10000,3.85,2892,19735,57700,High
10000,4.19,3679,80713,80000,High
100,4.5,113,7627,1400,Low
100,3.25,12,99,600,Low
100,4,4,45151,1300,Low
12350,4.22,2878,36361,135850,High
5000,3.39,783,32168,20000,High
1000,3.72,687,6570,5770,Medium
12350,4.17,2440,15106,111150,High
10000,3.75,1586,120781,110000,High
1000,4.24,131,4516,9000,Medium
1000,3.54,54,80093,5810,Medium
100,3.66,56,4811,1100,Low
12350,3.69,2160,5281,135850,High
5000,3.53,876,2510,40000,High
10000,3.65,2422,78616,110000,High
5000,4.07,844,10474,30000,High
5000,4.07,824,32778,25000,High
5000,3.92,609,1411,30000,High
5000,4.02,1061,42919,40000,High
100,4.06,113,3682,1300,Low
100,3.73,22,1746,1100,Low
10000,3.65,418,23465,56500,High
10000,4.04,1589,3665,80000,High
100,4.29,58,1050,300,Low
50,3.88,8,334,400,Low
10000,3.74,1938,5466,130000,High
5000,4.1,1514,35751,55000,High
10,3.5,4,1531,70,Low
5000,3.97,538,6876,25000,High
1000,3.84,309,24564,6000,Medium
12350,4.12,2826,55670,37050,High
5000,4.16,663,18029,60000,High
100,3.09,22,16487,1100,Low
10000,3.85,2519,23485,80000,High
100,3.07,55,23161,600,Low
1000,3.63,146,14442,9000,Medium
1000,3.6,141,3771,8000,Medium
100,5,2,5316,500,Low
50,3.71,7,211,400,Low
12350,3.94,4304,18877,111150,High
10000,3.32,1061,88193,80000,High
100,5,0,6,481,Low
100,3.44,71,151,1400,Low
100,5,13,138,800,Low
100,3.57,23,7602,700,Low
100,3.67,12,38100,300,Low
1000,3.63,187,1761,8000,Medium
100,3.5,6,117,800,Low
5000,3.34,887,1021,60000,High
100,2.71,24,746,1100,Low
100,3,11,5768,800,Low
100,4.39,111,1290,800,Low
1000,3.53,325,383,6000,Medium
100,4.25,12,874,1100,Low
100,3.86,28,889,800,Low
1000,3.58,605,21226,8000,Medium
10000,3.74,2148,246312,90000,High
10,5,1,9217,140,Low
5000,3.88,1224,56745,65000,High
100,4.09,57,16099,484,Low
1000,4.11,94,10436,5000,Medium
5000,3.43,647,5985,70000,High
100,3.57,28,1500,300,Low
10000,3.35,1786,3566,70000,High
12350,3.93,7088,11481,61750,High
100,4.07,27,34975,900,Low
1000,4.22,237,96838,9000,Medium
1000,4.13,127,173,8000,Medium
2,2,1,21307,22,Low
5000,3.77,1163,15173,93925,High
10000,3.65,2324,30292,80000,High
10000,3.91,1797,9938,70000,High
5000,3.11,434,6876,60000,High
