@relation cleaned_summer_products

@attribute price numeric
@attribute retail_price numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute performance {average,very_successful,successful}

@data
11,10,3.67,215,0,0,0,39,2377,4.063525,0,successful
6,6,4.17,505,0,0,0,37,2996,4.348798,0,successful
7,56,4.16,1378,0,0,0,41,25222,4.001546,0,successful
7,6,3.84,1978,0,0,0,20,7069,4.055029,0,successful
8,11,2.81,21,0,0,0,17,31,3.580645,0,average
14,26,3.61,72,0,0,0,39,7385,4.087339,0,average
6,6,3.67,27,0,0,0,38,4705,4.040595,0,average
11,12,3.45,1045,0,0,0,79,1490,3.946309,0,successful
6,21,3.18,573,0,0,0,34,9827,4.11387,1,successful
7,47,4.02,556,0,0,0,42,35262,3.939482,0,successful
6,76,4.29,1741,0,1,0,32,28159,4.183387,0,successful
7,16,3.71,1792,0,0,0,45,1702,3.907168,0,successful
9,65,3.7,162,0,0,0,36,3373,3.96472,0,successful
8,10,5,2,0,0,0,23,127,3.874016,0,average
11,84,3.61,18,0,0,0,27,435,3.855172,0,average
8,7,3.76,11062,0,0,0,38,108048,4.052504,1,very_successful
18,17,4.17,3229,0,0,0,39,3309,4.250529,0,successful
11,30,0,0,0,0,0,78,22621,4.295124,0,average
4.83,51,2,1,0,0,0,39,57,3.824561,0,average
8,7,4.57,7,0,0,0,37,610,3.814754,0,average
5.85,13,3.16,602,0,0,0,38,25631,3.894737,0,successful
11,10,3.96,25,1,1,0,27,794,4.277078,0,average
9,34,4.44,18,0,0,0,39,1385,4.12491,0,average
15,101,3.91,646,1,0,0,40,29044,4.160274,1,successful
5,5,4.06,197,0,0,0,39,2610,4.158238,0,successful
8,7,3.52,23,0,0,0,41,139223,3.933581,0,average
5.69,5,4.26,798,0,1,0,51,2199,4.236471,0,successful
6,6,4,8,0,0,0,23,127,3.874016,0,average
8,8,4.03,579,0,0,0,41,23832,4.020435,0,successful
6,41,4.1,939,0,0,0,41,9926,3.949224,0,successful
11,89,3.77,48,0,0,0,37,104269,4.253287,0,average
1.72,56,4,6,0,0,0,27,1338,4.09716,0,average
5.78,26,3.84,1426,0,0,0,37,3549,3.982249,0,successful
11,10,4.23,1109,0,0,0,48,5781,4.274866,0,successful
